cell	node	doublet
0	0	no
1	0	no
2	0	no
3	0	no
4	0	no
5	0	no
6	0	no
7	0	no
8	0	no
9	0	no
10	0	no
11	0	no
12	0	no
13	0	no
14	0	no
15	0	no
16	0	no
17	0	no
18	0	no
19	0	no
20	0	no
21	0	no
22	0	no
23	0	no
24	0	no
25	0	no
26	0	no
27	0	no
28	0	no
29	0	no
30	0	no
31	0	no
32	0	no
33	0	no
34	0	no
35	0	no
36	0	no
37	0	no
38	0	no
39	0	no
40	0	no
41	0	no
42	0	no
43	0	no
44	0	no
45	0	no
46	0	no
47	0	no
48	0	no
49	0	no
50	0	no
51	0	no
52	0	no
53	0	no
54	0	no
55	0	no
56	0	no
57	0	no
58	0	no
59	0	no
60	0	no
61	0	no
62	0	no
63	0	no
64	0	no
65	0	no
66	0	no
67	0	no
68	0	no
69	0	no
70	0	no
71	0	no
72	0	no
73	0	no
74	0	no
75	0	no
76	0	no
77	0	no
78	0	no
79	0	no
80	0	no
81	0	no
82	0	no
83	0	no
84	0	no
85	0	no
86	0	no
87	0	no
88	0	no
89	0	no
90	0	no
91	0	no
92	0	no
93	0	no
94	0	no
95	0	no
96	0	no
97	0	no
98	0	no
99	0	no
100	0	no
101	0	no
102	0	no
103	0	no
104	0	no
105	0	no
106	0	no
107	0	no
108	0	no
109	0	no
110	0	no
111	0	no
112	0	no
113	0	no
114	0	no
115	0	no
116	0	no
117	0	no
118	0	no
119	0	no
120	0	no
121	0	no
122	0	no
123	0	no
124	0	no
125	0	no
126	0	no
127	0	no
128	0	no
129	0	no
130	0	no
131	0	no
132	0	no
133	0	no
134	0	no
135	0	no
136	0	no
137	0	no
138	0	no
139	0	no
140	0	no
141	0	no
142	0	no
143	0	no
144	0	no
145	0	no
146	0	no
147	0	no
148	0	no
149	0	no
150	0	no
151	0	no
152	0	no
153	0	no
154	0	no
155	0	no
156	0	no
157	0	no
158	0	no
159	0	no
160	0	no
161	0	no
162	0	no
163	0	no
164	0	no
165	0	no
166	0	no
167	0	no
168	0	no
169	0	no
170	0	no
171	0	no
172	0	no
173	0	no
174	0	no
175	0	no
176	0	no
177	0	no
178	0	no
179	0	no
180	0	no
181	0	no
182	0	no
183	0	no
184	0	no
185	0	no
186	0	no
187	0	no
188	0	no
189	0	no
190	0	no
191	0	no
192	0	no
193	0	no
194	0	no
195	0	no
196	0	no
197	0	no
198	0	no
199	0	no
200	0	no
201	0	no
202	0	no
203	0	no
204	0	no
205	0	no
206	0	no
207	0	no
208	0	no
209	0	no
210	0	no
211	0	no
212	0	no
213	0	no
214	0	no
215	0	no
216	0	no
217	0	no
218	0	no
219	0	no
220	0	no
221	0	no
222	0	no
223	0	no
224	0	no
225	0	no
226	0	no
227	0	no
228	0	no
229	0	no
230	0	no
231	0	no
232	0	no
233	0	no
234	0	no
235	0	no
236	0	no
237	0	no
238	0	no
239	0	no
240	0	no
241	0	no
242	0	no
243	0	no
244	0	no
245	0	no
246	0	no
247	0	no
248	0	no
249	0	no
250	0	no
251	0	no
252	0	no
253	0	no
254	0	no
255	0	no
256	0	no
257	0	no
258	0	no
259	0	no
260	0	no
261	0	no
262	0	no
263	0	no
264	0	no
265	0	no
266	0	no
267	0	no
268	0	no
269	0	no
270	0	no
271	0	no
272	0	no
273	0	no
274	0	no
275	0	no
276	0	no
277	0	no
278	0	no
279	0	no
280	0	no
281	0	no
282	0	no
283	0	no
284	0	no
285	0	no
286	0	no
287	0	no
288	0	no
289	0	no
290	0	no
291	0	no
292	0	no
293	0	no
294	0	no
295	0	no
296	0	no
297	0	no
298	0	no
299	0	no
300	0	no
301	0	no
302	0	no
303	0	no
304	0	no
305	0	no
306	0	no
307	0	no
308	0	no
309	0	no
310	0	no
311	0	no
312	0	no
313	0	no
314	0	no
315	0	no
316	0	no
317	0	no
318	0	no
319	0	no
320	0	no
321	0	no
322	0	no
323	0	no
324	0	no
325	0	no
326	0	no
327	0	no
328	0	no
329	0	no
330	0	no
331	0	no
332	0	no
333	0	no
334	0	no
335	0	no
336	0	no
337	0	no
338	0	no
339	0	no
340	0	no
341	0	no
342	0	no
343	0	no
344	0	no
345	0	no
346	0	no
347	0	no
348	0	no
349	0	no
350	0	no
351	0	no
352	0	no
353	0	no
354	0	no
355	0	no
356	0	no
357	0	no
358	0	no
359	0	no
360	0	no
361	0	no
362	0	no
363	0	no
364	0	no
365	0	no
366	0	no
367	0	no
368	0	no
369	0	no
370	0	no
371	0	no
372	0	no
373	0	no
374	0	no
375	0	no
376	0	no
377	0	no
378	0	no
379	0	no
380	0	no
381	0	no
382	0	no
383	0	no
384	0	no
385	0	no
386	0	no
387	0	no
388	0	no
389	0	no
390	0	no
391	0	no
392	0	no
393	0	no
394	0	no
395	0	no
396	0	no
397	0	no
398	0	no
399	0	no
400	0	no
401	0	no
402	0	no
403	0	no
404	0	no
405	0	no
406	0	no
407	0	no
408	0	no
409	0	no
410	0	no
411	0	no
412	0	no
413	0	no
414	0	no
415	0	no
416	0	no
417	0	no
418	0	no
419	0	no
420	0	no
421	0	no
422	0	no
423	0	no
424	0	no
425	0	no
426	0	no
427	0	no
428	0	no
429	0	no
430	0	no
431	0	no
432	0	no
433	0	no
434	0	no
435	0	no
436	0	no
437	0	no
438	0	no
439	0	no
440	0	no
441	0	no
442	0	no
443	0	no
444	0	no
445	0	no
446	0	no
447	0	no
448	0	no
449	0	no
450	0	no
451	0	no
452	0	no
